COMPANY,YEAR,REVENUE,NET INCOME,TOTAL ASSETS,TOTAL LIABILITIES,OPERATING_CASH_FLOW,,
Microsoft,2023,"2,04,127","72,361","4,47,457","1,96,545","81,115",,
Microsoft,2024,"2,45,122","90,162","5,18,135","2,32,185","94,455",,
Microsoft,2025,"2,81,724","1,01,815","5,77,220","2,61,120","1,10,155",,
Tesla,2023,"96,773","14,594","1,06,152","34,196","14,724",,
Tesla,2024,"97,690","15,161","1,22,070","48,390","14,915",,
Tesla,2025,"94,827","13,833","1,33,735","53,019","19,162",,
Apple,2023,"3,83,285","99,803","3,52,755","2,87,912","1,11,115",,
Apple,2024,"3,94,328","1,04,343","3,44,085","2,77,327","1,27,120",,
Apple,2025,"4,16,200","1,12,010","3,31,233","2,64,441","1,11,100",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
